직업,성향
로봇공학자,"설계,개발,관리,통제,시스템,수리,분석,조직"
원자력 공학기술자,"수리,독해,기술,분석,결단,독립"
반도체 공학기술자,"설계,개발,기술,분석,관리,추론,분석,혁신,꼼꼼,신중"
생명공학자,"기술,분석,학습,추론,수리,도덕,분석,결단,꼼꼼,신중"
화학연구원,"기술,분석,창의,추론,혁신,도덕,일관"
재료공학 기술자,"관리,기술,분석,개발,설계,혁신,통솔,일관,목표"
기계공학기술자,"설계,개발,기술,수리,결정,혁신,분석,꼼꼼,신중,통솔"
컴퓨터보안 전문가,"컴퓨터,기술,분석,설계,개발,시스템,통제,혁신,결단,독립,목표"
컴퓨터프로그래머,"컴퓨터,기술,분석,설계,개발,사고,일관,결단"
컴퓨터 시스템개발자,"관리,컴퓨터,기술,분석,독립,결단"
네트워크관리사,"설치,컴퓨터,통제,유지,분석,혁신,적응,결단"
데이터베이스 설계사,"컴퓨터,설계,개발,기술,분석,혁신,꼼꼼,신중,통솔"
기후변화전문가,"사고,수리,문장,독해,협동,신중,분석,의지,결단,꼼꼼"
해수담수화연구원,"설계,개발,분석,관리,효율,분석,혁신,통솔,결단"
태양광발전연구원,"분석,추론,컴퓨터,꼼꼼,신중,독립,결단"
천문 및 기상학연구원,"수리,컴퓨터,기술,분석,사고,혁신,목표,신중,도덕"
바이오에너지연구원,"분석,몰입,사고,추론,혁신,결단,목표,신중,꼼꼼"
투자분석가(애널리스트),"수리,사고,의사,결정,추론,독립,의지,분석,꼼꼼,신중,결단"
이러닝교수설계사,"교육,학습,꼼꼼,신중,협동,결단,혁신"
수의사,"결단,꼼꼼,신중,목표,일관,도덕"
응급구조사,"배려,의지,협동,통제,도덕"
의사,"친화,목표,배려,극복,의지"
성형외과의사,"독립,꼼꼼,신중,통제,적응,분석"
간호사,"암기,관리,통제,도덕,배려,꼼꼼,신중,극복,적응"
치과의사,"통제,집중,몰입,꼼꼼,신중,배려,의지,결단,목표"
해양공학기술자,"수리,기술,분석,설계,개발,문장,혁신,독립,결단"
항공공학기술자,"설계,개발,분석,분류,통솔,협동,혁신,꼼꼼,신중"
도선사,"공간지각,순발,통제,시스템,독립,극복,목표,의지,통솔"
지리정보시스템전문가,"컴퓨터,설계,개발,공간지각,해결,분석,결단,혁신,통솔,협동"
