직업,성향
통신공학 기술자,"설계,개발,기술,분석,시스템,통제,통솔"
조향사,"창의,관리,분류,사고,창의,혁신,적응"
작곡가,"창의,집중,몰입,목표,독립"
패션디자이너,"창의,평가,점검,관리,암기,혁신,목표,적응,극복,꼼꼼,신중"
일러스트레이터,"창의,암기,극복,독립,혁신,결단"
작가,"문장,창의,추론,독해,혁신,분석,극복,신중,꼼꼼"
애완동물 미용사,"의지,유연,균형,감각,순발,극복,통제"
안무가,"유연,공간지각,창의,적응,목표,통솔,혁신,결단"
사진작가,"통제,창의,분석,독립,혁신,극복"
학예사(큐레이터),"문장,독해,공간지각,창의,꼼꼼,독해"
기자,"문장,분석,혁신,적응,독립,의지"
영화배우(연기자),"집중,몰입,암기,추론,극복,협동,독립,목표,친화"
모델,"유연,감각,공간지각,창의,관리,친화,의지,극복,적응,통제"
아나운서,"집중,몰입,화술,청취,관리,적응,친화,배려,협동,의지"
가수,"창의,집중,몰입,목표,극복,의지,결단,배려"
CEO(기업임원),"산출,전략,관리,합리,의사,결정,통솔,혁신,결단,분석,친화"
외환딜러,"합리,의사,결정,수리,집중,몰입,의지,통제,적응,독립,목표"
스포츠 에이전트,"관리,운동,협상,친화,혁신,적응,통솔"
체형관리사,"관리,심리,화술,전략,배려,친화,통제,협동"
운동선수,"유연,균형,감각,순발,체력,통제,극복,통솔,협동"
요리사,"관리,통제,혁신,친화,배려,도덕"
