직업,성향
웹.멀티미디어 개발자,"창의,평가,점검,관리,컴퓨터,혁신,협동,적응,결단,목표"
메이크업아티스트,"창의,고객관리,꼼꼼,신중,배려,극복,친화"
미용사,"창의,고객관리,목표,적응,혁신,배려,친화"
출판 기획자,"독해,창의,협력,혁신,분석,꼼꼼,신중,독립,적응"
방송연출가,"창의,혁신,결단,적응,전략,관리,통솔,목표"
통역가,"집중,몰입,암기,화술,분석,적응,꼼꼼,신중,일관,통제"
인터넷판매원,"산출,관리,청취,독해,극복,도덕,꼼꼼,신중,결단,목표"
행사기획자,"창의,협상,전략,관리,대응,혁신,협동,친화,통솔,적응"
광고기획자,"창의,문장,독해,평가,점검,혁신,목표,통솔,적응,의지"
비서,"암기,컴퓨터,관리,대응,배려,도덕,친화,일관,꼼꼼,신중"
보험계리사,"수리,컴퓨터,사고,합리,의사,결정,꼼꼼,신중,분석,일관,독립,혁신"
물류관리전문가,"컴퓨터,협상,관리,조직,해결,결단,친화,협동,통솔,꼼꼼,신중"
대학교수,"문장,학습,청취,독립,분석,도덕,목표,혁신"
중등 교사,"학습,심리,대응,배려,통제,극복,통솔,친화"
심리학자,"분석,의지,극복,혁신,목표"
직업상담사,"배려,통제,의지,친화,적응,협동"
보육교사,"교육,학습,대응,친화,배려,적응,통제,협동"
안경사,"효율,관리,화술,신중,의지,배려"
상담 전문가,"대응,심리,청취,화술,배려,통제,친화,적응"
텔레마케터,"설득,화술,청취,의지,통제,극복,친화,목표"
웨딩플래너,"협상,관리,화술,극복,적응,결단,꼼꼼,신중,배려"
레크레이션 강사,"화술,창의,교육,통솔,적응,친화,혁신,통제"
여행상품기획자,"관리,협상,설득,친화,혁신,적응,일관"
호텔리어,"전략,관리,심리,통솔,배려,친화,통제"
콜센터 상담원,"관리,친화,설득,배려,화술,꼼꼼"
